index,rf_LAI
2019-01-08,0.645
2019-01-15,0.6585714285714286
2019-01-22,0.6957142857142857
2019-01-29,0.6814285714285714
2019-02-05,0.5357142857142857
2019-02-12,0.5435714285714286
2019-02-19,0.9221428571428572
2019-02-26,1.0285714285714287
2019-03-05,1.3057142857142858
2019-03-12,1.2385714285714287
2019-03-19,1.3385714285714287
2019-03-26,1.3311904761904763
2019-04-02,1.3923809523809523
2019-04-09,1.5385714285714285
2019-04-16,1.5357142857142858
2019-04-23,2.165714285714286
2019-04-30,1.5771428571428572
2019-05-07,1.4204761904761904
2019-05-14,1.7138095238095237
2019-05-21,1.7642857142857142
2019-05-28,1.9285714285714286
2019-06-04,1.7571428571428573
2019-06-11,1.832857142857143
2019-06-18,1.4000000000000001
2019-06-25,1.4014285714285715
2019-07-02,1.502857142857143
2019-07-09,1.5214285714285716
2019-07-16,2.1185714285714288
2019-07-23,2.3592857142857144
2019-07-30,1.1261904761904762
2019-08-06,0.44095238095238093
2019-08-13,0.7671428571428571
2019-08-20,1.6414285714285715
2019-08-27,2.2657142857142856
2019-09-03,1.8057142857142858
2019-09-10,1.6733333333333333
2019-09-17,1.7588095238095238
2019-09-24,0.40928571428571425
2019-10-01,0.43785714285714283
2019-10-08,0.3742857142857143
2019-10-15,0.3314285714285714
2019-10-22,0.36666666666666664
2019-10-29,0.3461904761904762
2019-11-05,0.3942857142857143
2019-11-12,0.37142857142857144
2019-11-19,0.38571428571428573
2019-11-26,0.41000000000000003
2019-12-03,0.4014285714285714
2019-12-10,0.34285714285714286
2019-12-17,0.3457142857142857
2019-12-24,0.38571428571428573
2019-12-31,0.3385714285714286
